"animals","condition","elevator","lat","lon","quarter","price","rooms","size","url","distance_to_bud_center","nearest_stop_distance","nearest_stop_distance_rail"
"no","renovated","no",47.5458368,19.0384019,3,1e+05,1,35,"https://ingatlan.jofogas.hu/budapest/3__kerulet__Florian_ter_79085246.htm",6017.16635836726,301.160963036611,325.56039827933
NA,"good","yes",47.5452306,19.0340966,3,110000,2,52,"https://ingatlan.jofogas.hu/budapest/3__keruleti__panoramas_lakas_kiado_78519058.htm",6012.18074868879,20.8466538857644,20.8466538857644
"no","like new","yes",47.4980698,19.0654671,7,180000,3,84,"https://ingatlan.jofogas.hu/budapest/3_kulonallo_szoba_a_VII__keruletben_77536381.htm",1227.03443041721,53.9973774037284,337.544419294386
NA,"good","yes",47.5011902,19.0681462,7,235000,4,80,"https://ingatlan.jofogas.hu/budapest/3_kulonnyilo_szobas_vilagos_lakas_kiado_a_VII__Keruletben_70627598.htm",1588.7909266162,92.0480302307339,141.434033588346
NA,"good","yes",47.5011902,19.0681462,7,235000,4,80,"https://ingatlan.jofogas.hu/budapest/3_kulonnyilo_szobas_vilagos_lakas_kiado_a_VII__Keruletben_75548326.htm",1588.7909266162,92.0480302307339,141.434033588346
NA,"good","yes",47.5011902,19.0681462,7,235000,4,80,"https://ingatlan.jofogas.hu/budapest/3_kulonnyilo_szobas_vilagos_lakas_kiado_a_VII__Keruletben_75548401.htm",1588.7909266162,92.0480302307339,141.434033588346
"no","good","yes",47.5061755,19.049964,5,3e+05,3,100,"https://ingatlan.jofogas.hu/budapest/3_kulonszobas_lakas_akar_rovidtavu_kiadasra_is_77039820.htm",1526.11732670705,45.6162687573133,224.408513688335
"only small pets","renovated","yes",47.495788,19.0778494,8,160000,3,90,"https://ingatlan.jofogas.hu/budapest/3_szobas___erkelyes_tagas__felujitott_gyerekkel__kisallattal_is___78906552.htm",2023.58946957573,29.1692596920509,29.1692596920509
"no","good","no",47.424971,19.174916,18,150000,3,62,"https://ingatlan.jofogas.hu/budapest/3_szobas__egyedi_futesu_lakas_kiado_77603780.htm",11956.1577912072,128.811743417843,1877.8736622725
"no","like new","no",47.4873992,19.0843176,8,2e+05,3,110,"https://ingatlan.jofogas.hu/budapest/3_szobas__kandallos_lakas_a_Corvin_negyedben_75873003.htm",2541.16531499966,175.362501789667,524.298507600668
"yes","good","no",47.5107122,19.0746544,6,185000,3,107,"https://ingatlan.jofogas.hu/budapest/3_szobas_lakas_kiado_a_Rozsa_utcaban_78429913.htm",2677.97016914993,176.616352539389,176.616352539389
